4* - Probability of getting at least constellation X
+-------+--------+--------+--------+--------+--------+--------+--------+
| Pulls |   C0   |   C1   |   C2   |   C3   |   C4   |   C5   |   C6   |
+-------+--------+--------+--------+--------+--------+--------+--------+
|   50  | 0.8179 | 0.4517 | 0.1569 | 0.0340 | 0.0046 | 0.0004 | 0.0000 |
|  100  | 0.9713 | 0.8514 | 0.6233 | 0.3629 | 0.1645 | 0.0577 | 0.0157 |
|  150  | 0.9956 | 0.9671 | 0.8810 | 0.7204 | 0.5108 | 0.3077 | 0.1556 |
|  200  | 0.9993 | 0.9933 | 0.9686 | 0.9043 | 0.7852 | 0.6177 | 0.4326 |
|  250  | 0.9999 | 0.9987 | 0.9925 | 0.9719 | 0.9226 | 0.8317 | 0.6979 |
|  300  | 1.0000 | 0.9998 | 0.9983 | 0.9927 | 0.9757 | 0.9371 | 0.8665 |
|  350  | 1.0000 | 1.0000 | 0.9997 | 0.9982 | 0.9932 | 0.9793 | 0.9488 |
|  400  | 1.0000 | 1.0000 | 0.9999 | 0.9996 | 0.9982 | 0.9937 | 0.9823 |
|  450  | 1.0000 | 1.0000 | 1.0000 | 0.9999 | 0.9996 | 0.9982 | 0.9944 |
|  500  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9999 | 0.9995 | 0.9984 |
|  550  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9999 | 0.9996 |
|  600  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9999 |
|  650  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 |
|  700  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 |
|  750  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 |
|  800  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 |
|  850  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 |
|  900  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 |
|  950  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 |
|  1000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 |
|  1050 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 |
|  1080 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 |
+-------+--------+--------+--------+--------+--------+--------+--------+
