4* - Probability of getting exactly constellation X
+-------+--------+--------+--------+--------+--------+--------+--------+
| Pulls |   C0   |   C1   |   C2   |   C3   |   C4   |   C5   |   C6   |
+-------+--------+--------+--------+--------+--------+--------+--------+
|   50  | 0.3662 | 0.2948 | 0.1229 | 0.0295 | 0.0042 | 0.0004 | 0.0000 |
|  100  | 0.1200 | 0.2281 | 0.2604 | 0.1984 | 0.1068 | 0.0420 | 0.0157 |
|  150  | 0.0285 | 0.0861 | 0.1607 | 0.2095 | 0.2031 | 0.1521 | 0.1556 |
|  200  | 0.0059 | 0.0248 | 0.0643 | 0.1191 | 0.1675 | 0.1850 | 0.4326 |
|  250  | 0.0012 | 0.0062 | 0.0206 | 0.0493 | 0.0909 | 0.1338 | 0.6979 |
|  300  | 0.0002 | 0.0014 | 0.0057 | 0.0169 | 0.0386 | 0.0706 | 0.8665 |
|  350  | 0.0000 | 0.0003 | 0.0015 | 0.0051 | 0.0138 | 0.0305 | 0.9488 |
|  400  | 0.0000 | 0.0001 | 0.0003 | 0.0014 | 0.0044 | 0.0114 | 0.9823 |
|  450  | 0.0000 | 0.0000 | 0.0001 | 0.0004 | 0.0013 | 0.0038 | 0.9944 |
|  500  | 0.0000 | 0.0000 | 0.0000 | 0.0001 | 0.0004 | 0.0012 | 0.9984 |
|  550  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0001 | 0.0003 | 0.9996 |
|  600  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0001 | 0.9999 |
|  650  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 |
|  700  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 |
|  750  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 |
|  800  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 |
|  850  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 |
|  900  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 |
|  950  | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 |
|  1000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 |
|  1050 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 |
|  1080 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 |
+-------+--------+--------+--------+--------+--------+--------+--------+
